DFS0,DFS1,DFS2,DFS3,DFS4,DFS5,Shortest,MazeSolved
1142,5550,4288,6313,6305,633,4464,randomGenerateMaze424
2924,774,2832,5208,5744,4204,730,randomGenerateMaze425
4982,1354,217,2228,6468,1033,748,randomGenerateMaze426
6189,2169,2811,3539,4440,3339,1776,randomGenerateMaze427
6053,2849,2773,5847,1002,3066,3604,randomGenerateMaze428
1868,4567,5980,449,509,6520,6215,randomGenerateMaze429
3066,4911,2392,422,3341,272,5548,randomGenerateMaze430
1255,2496,4962,6497,5294,1842,4899,randomGenerateMaze431
3572,4271,1378,1108,6545,3301,1093,randomGenerateMaze432
5533,3556,1006,974,1684,4490,4460,randomGenerateMaze433
448,1156,5552,4296,2836,4032,6491,randomGenerateMaze434
5103,6043,116,2600,130,1715,163,randomGenerateMaze435
4343,1586,663,5836,4848,4011,3743,randomGenerateMaze436
111,449,4787,1589,2001,2151,2367,randomGenerateMaze437
906,4819,5002,2513,1742,1218,5179,randomGenerateMaze438
820,2980,5243,6114,3116,1120,5002,randomGenerateMaze439
5156,2414,137,6347,5802,334,714,randomGenerateMaze440
3855,4382,3407,6391,6298,6459,3219,randomGenerateMaze441
4554,123,278,522,1192,5669,801,randomGenerateMaze442
4319,894,1090,4988,4589,165,304,randomGenerateMaze443
1757,852,4130,5417,4462,3474,5015,randomGenerateMaze444
3344,3953,2185,1051,5615,910,1505,randomGenerateMaze445
325,1215,3833,5004,4227,4453,6122,randomGenerateMaze446
