ItemsInList,SortedTree time(ns),DescendingTree time(ns),RandomTree time(ns),n^2,logn,nlogn,SortedTree n^2,SortedTree logn,SortedTree nlogn,DescendingTree n^2,DescendingTree logn,DescendingTree nlogn,RandomTree n^2,RandomTree Logn,RandomTree nlogn
136,30820,31950,2500,18496,2.133538908,290.1612915,1.666306228,14445.48299,106.2167867,1.727400519,14975.11945,110.1111724,0.13516436,1171.762085,8.615897685
137,31160,32530,2540,18769,2.136720567,292.7307177,1.660184347,14583.09546,106.4459523,1.733177047,15224.26493,111.1260214,0.135329533,1188.737563,8.676916519
138,31490,33100,2500,19044,2.139879086,295.3033139,1.653539172,14715.78474,106.6361213,1.738080235,15468.1637,112.0881427,0.131274942,1168.290309,8.465871807
139,32080,33360,2370,19321,2.1430148,297.8790572,1.660369546,14969.5653,107.6947144,1.726618705,15566.85469,111.9917604,0.122664458,1105.918634,7.956249164
140,32560,34230,2510,19600,2.146128036,300.457925,1.66122449,15171.50862,108.3679187,1.746428571,15949.65418,113.9261013,0.128061224,1169.548116,8.353915112
141,33390,34520,2490,19881,2.149219113,303.0398949,1.679492983,15535.87524,110.1835123,1.73633117,16061.6476,113.9123943,0.125245209,1158.560328,8.216739915
142,33520,35210,2920,20164,2.152288344,305.6249449,1.662368578,15574.12142,109.6769114,1.746181313,16359.33219,115.2065647,0.144812537,1356.695541,9.554193951
143,34100,35590,2890,20449,2.155336037,308.2130534,1.667563206,15821.19883,110.6377541,1.740427405,16512.50635,115.4720724,0.141327204,1340.8582,9.376630771
144,34920,36300,2630,20736,2.158362492,310.8041989,1.684027778,16178.932,112.3536945,1.750578704,16818.30561,116.7937889,0.126832562,1218.516357,8.461919143
145,35300,36710,2560,21025,2.161368002,313.3983603,1.678953627,16332.24882,112.6361987,1.746016647,16984.61343,117.135265,0.12175981,1184.435042,8.168517529
146,37780,40000,2910,21316,2.164352856,315.9955169,1.772377557,17455.5641,119.5586582,1.876524676,18481.27485,126.5840743,0.13651717,1344.512745,9.208991406
147,38750,40510,3050,21609,2.167317335,318.5956482,1.793234301,17879.2461,121.6275245,1.874681846,18691.30992,127.1517682,0.141144893,1407.269693,9.573263217
