Items in List (n),BadHashGetTime (ns),BHGet Collisions,MediumHashGetTime (ns),MHGet Collisions,GoodHashGetTime (ns),GHGet Collisions,BadHashPutTime (ns),BHPut Collisions,MediumHashPutTime (ns),MHPut Collisions,GoodHashPutTime (ns),GHPut Collisions
23000,46167850,100,1192700,4814,2444050,4688,27722800,0,2586650,0,2580250,0
23100,47130950,100,1367200,4834,2498900,4788,27800050,0,2611700,0,2853000,0
23200,46733850,100,1196500,4854,2434350,4888,28126700,0,2490000,0,2739750,0
23300,48121400,100,1203200,4874,2526450,4988,28171600,0,2489600,0,2674650,0
23400,47642850,100,4118050,4894,2709300,5088,28281350,0,2899550,0,2863600,0
23500,51951600,100,1252150,4914,2583800,5188,28992200,0,4653750,0,3212000,0
23600,49158100,100,1206850,4934,2515300,5288,28817000,0,2500850,0,2703550,0
23700,48499600,100,1318000,4954,2563850,5388,27736650,0,2553750,0,2974650,0
23800,49810100,100,1206800,4974,2566550,5488,28613750,0,2708000,0,2770350,0
23900,49826200,100,1197100,4994,2630400,5588,29207900,0,2525550,0,4531650,0
24000,52340250,100,1210750,5014,2626350,5688,29177250,0,2541450,0,2669850,0
24100,51288200,100,1528100,5034,2982850,5788,33318250,0,2752350,0,2838700,0
24200,51962750,100,1217800,5063,2572050,5888,30168900,0,2548850,0,2915100,0
24300,52275150,100,1193150,5103,2734600,5988,30076900,0,2513200,0,2644300,0
24400,52548850,100,1217700,5143,2653100,6088,30514700,0,2495050,0,2757100,0
24500,52337550,100,1274300,5183,2773900,6131,30471600,0,2695250,0,2849200,0
24600,52923300,100,1295850,5223,2715950,6198,30687800,0,2455650,0,2869350,0
24700,53122000,100,1678800,5263,2747050,6298,30511150,0,2530400,0,2595650,0
24800,52930950,100,1245300,5303,2730750,6398,30676950,0,2760000,0,3101950,0
24900,55055500,100,1299000,5343,2767400,6498,31298450,0,2771550,0,3120900,0
25000,54838750,100,1265600,5383,2809650,6598,32343950,0,2531250,0,4732550,0
